Отзыв,Название,Тональность
"Знать путь и пройти его - ни одно и тоже  Что такое матрица?  Иллюзорна  Согласно замысловатому сюжету, все мы подключены к матрице - интерактивной компьютерной программе, моделирующей современную реальность. В свою очередь, прибывая в забвении, все мы являемся - батарейкой для восставших Машин.  Спасённые  Единственное пристанище свободных людей - подземный город Зион, именно от туда в мир Матрицы проходят корабли, дабы спасти людей от диктата. Один из этих кораблей находится под командованием капитана Морфеуса и носит название 'Навухадоносор', на котором имеется надпись:Mark III № 11.Если обратиться к стиху из Евангелия, то можно прочесть - И духи нечистые, когда видели Его, падали пред Ним и кричали: Ты Сын Божий  Избранный  Существует древнее пророчество, о появлении человека - спасителя, который освободит людей от рабства и покажет им настоящий мир, разрушит матрицу.  Морфеус всю свою жизнь блуждает по матрице в поисках его и вот однажды он решает, что поиск окончен, когда из 'страны грёз' он спасает хакера Нео. Он так слепо верит в него, что готов умереть за эту веру. И когда Нео хочет сказать Морфеусу, что предсказательница Пифия опровергла его убеждение, он останавливает его на полуслове и произносит одну из самых запоминающихся фраз: знать путь и пройти его - ни одно и тоже.  Актёрский состав  В итоге он получился безупречным. От роли Нео отказался Уилл Смит, в этой роли видели Брэда Пита, Джонни Деппе и Вэла Килмера. Но так сыграть спасителя человечества мог только Киану Ривз. Все - от верующего Морфеуса и обворажительной Тринити до Агента Смита, кажутся реальными, существующими, не просто порождением фантазий режиссёров. Это гениальная трактовка роли, точное попадание, исключительное мастерство.  Визуальные эффекты  Это было 10 лет назад, но это всегда будет на высоте. Матрица стала первой картиной, которая превзошла Звёздные Войны и получила оскар за спецэффекты. Всё, что происходит на экране, захватывает тебя с первой секунды.  Матрица - это невероятный по масштабам проект на все времена. Он единственный в своём роде, он ни на что не похож, полностью индивидуален. Фильм сочетает насыщенные действия и философию, переосмысление человеческого бытия. Он заставляет не просто наслаждаться, но и задуматься о современных проблемах и о пути, которому следует человечество.  'Я знаю вы слышите. Я чувствую, что вы боитесь. Я не знаю будущего, но могу сказать, что будет дальше. Сейчас я повешу трубку и покажу людям настоящий мир, без вас. Мир без диктата и границ. Мир, где возможно всё.'  10 из 10 ",Матрица ,1
"Лучший из философских, лучший из фантастических  Фильм Матрица до сих пор остается культовым фильмом и фильмом который заставляет задуматься о многом.  В этом фильме очень много фраз, которые я понял не с первого раза, я понимал смысл фильма целых 11 лет, потому что с первого раза философию фильма матрица не поймешь.  Самый смак фильма не только в спецэффектах, а в философии и рассуждениях. Надо задуматься стоит ли нам создавать Искусственный Интеллект, сможем ли мы без него?  Этот фильм как и многие трактует о том, что если бы человек сделал так то...  Это еще одна история о том что не нужно делать человечеству.  Поговорим об актерах:  Киану Ривз или Великий Нео - Сыграл роль избранного достойно, но в этом фильме он еще не так силен как в продолжениях (обязательно посмотрите продолжение). В этой части фильма он только рождается и только начинает понимать смысл своего призвания.  Лоренс Фишбёрн или Философ Морфеус - Про него скажу кратко - Морфеуса можно назвать рассказчиком фильма, говорит нам об устройстве матрицы и о том что произошло с людьми. Помогает Нео понять что он избранный.  Кэрри-Энн Мосс или Тринити - Старший офицер корабля, она верит в Нео и благодаря ей Нео становится избранным, потому что быть избранным все равно что влюбиться.  Хьюго Уивинг или Страж Системы Агент Смит - главный ненавистник людей и считает что люди это вирус, а он это лекарство, главный враг Нео до самого конца.  В общем фильм нужно смотреть обязательно для любителей фантастики и философии. Фильм Матрица это пища для ума которой можно очень хорошо полакомиться во время просмотра этого фильма.  10 из 10  За философию и спецэффекты!!! ",Матрица ,1
"Вот что интересно, когда на экранах появился Первый Нетупой Голливудский Боевик ака Матрица. Все. Прорвало: 'Новое слово в искусстве'', 'Революция в кино' и проч., проч., проч. Такое ощущение, что все сидели в состоянии голода информационного. И тут два парня, которые любили смотреть аниме про киберпанк и старые чешские фильмы, якобы открыли миру глаза...  Избранный спасет всех от злых-презлых машин (привет, старина Кэмерон). Общий восторг... Многие говорят, что этот фильм сложен для понимания, ибо очень интеллектуален. Это не так.  Вот спецеффекты и визуальная часть - это ура и аплодисменты (хотя почти все опять вторично, но это побоку). Все вместе смотрится хорошо. Ибо что главное в боевике? Правильно - экшн. Какая разница, достигнет ли Нео просветления и откроет ли он свои чакры, когда он бегает по стенам и мочит, мочит, мочит.  Не надо искать философию там, где ее нет и где она не нужна. Цените драйв и приятность восприятия. ",Матрица ,0
"Вообще, я Матрицу в первый раз посмотрела в этом году (у меня вообще традиция - не смотреть фильмы, пока они популярны).  Так вот, посмотрела я. В принципе, идея с виртуальным миром интересная - у меня самой не раз возникали мысли о подобном устройстве мира. Только я как-то без искусственного интеллекта обходилась.  А вот сам сюжет фильма мне показался немного странным, или, может, я чего-то не поняла? Дело в том, что я смотрела только первую часть, так что, вполне возможно, что на мои вопросы ответы были даны, только вот смотреть продолжения у меня нет никакого желания.  Итак, компьютеры поработили человечество... Даже нет, не поработили. Просто создали им свой мир, как я поняла, абсолютно аналогичный тому, в котором они жили раньше. В итоге, все, казалось бы, должны быть счастливы - и машины получили себе хороший источник энергии, и люди, получившие возможность жить, любить, создавать семьи и т.д. (а ведь компьютеры могли и что-нибудь поковарнее придумать, разве нет?).  Но человек же - существо свободолюбивое! Сама мысль о том, что их, пусть и без всякого ущерба, используют не по назначению, противна нашему сознанию! Надо вырваться из этого виртуального мира и наподдать этим подлым роботам, осмелившимся посягнуть на святое! В общем - ни себе, ни людям... то есть, машинам.  Здесь у меня возник вполне закономерный вопрос: а что изменится-то в том, новом мире? Чем там лучше, чем здесь? Ведь мир делают, в первую очередь, люди. Или в новом мире они будут все время улыбаться и дарить друг другу цветочки? Вряд ли. Куда их не пересели, они останутся такими же, как есть. И по мне, так лучше бы они разрушали все вокруг в виртуальном пространстве, чем в реальном...  Может, конечно, сюжет слишком сложен для моего примитивного мозга :), но у меня он вызвал совершенно противоположные большинству людей чувства.  В остальном, фильм, конечно, хорош: прекрасные, для своего времени, спецэффекты, стильные образы... но, к сожалению, для меня это не самое главное в фильме.  Идея же мне абсолютна чужда, поэтому лишь  6 из 10 ",Матрица ,0
"«Люди – это раковая опухоль на теле планеты»  Роскошное сравнение! Лучше и не скажешь. Жалкие разглагольствования об истинной свободе и пр. не идут ни в какое сравнение с этой суровой правдой жизни в плане её беспощадной убедительности.  Что ж, уже только ради этого диалога стоило посмотреть фильм. Предыдущая попытка закончилась провалом (где-то на середине «пути» – прямиком в объятия Морфея, что в некотором смысле символично, не правда ли). Последующие 12 лет я периодически только и слышал, сколь великое творение прошло мимо меня. Причем отнюдь не с технической точки зрения в первую очередь. Люди всерьез заинтересовались идеей!  И вот он настал. Момент истины. Попытка вторая, контрольная. Все условия, максимум расположения – «Поехали!»  Начало – как будто вчера смотрел – сохранилось в памяти в мельчайших деталях. Дальше пошла самая содержательная часть. Признаюсь, доступностью восприятия она явно не побаловала. В общих чертах разве что ситуацию обрисовали – и на том спасибо. Тем более что тема восстания машин при всём уважении к поклонникам картины ассоциируется у меня лично (да, думаю, и не только) с «несколько иным» фильмом. Ну да ладно. Всё равно интересно: люди-батарейки, закрытое солнце, искусственные миры и пр. Пойдет. Теория – «зачтено».  С практикой, как выяснилось, похуже. Фирменный (что есть, то есть) стиль на поверку оказался близким родственником убогих китайских боевиков с беготнёй по воздуху, всевозможными зависаниями, прыжками выше головы и пр. цирковыми трюками. Как ни крути, на любителя. Без меня. Никакая демагогия (относительно веры в себя, запредельной скорости движений и т.п.) не спасает.  Но на всё это можно было бы при желании (а оно было, ей богу) закрыть глаза, если бы не финал… Он перечеркивает всё. Абсолютно неуместный и лишенный всяческой логики. Зачем он здесь, объясните?! Незачёт. Без права пересдачи.  Бесспорно, вторая попытка оказалась успешнее первой, и теперь я хотя бы знаю, что такое «Матрица». Впереди целых два доселе невиданных сиквела, и они всё ещё представляют для меня определенный «научно-практический» интерес. Развязка же первой части навсегда останется для меня ярким примером бездарности и конъюнктурщины. И потому только  6 из 10 ",Матрица ,0
"Единственный эпитет, который ну совершенно не подходит к 'Матрицам' - 'умный'.  Эти фильмы какие угродно - зрелищные, проникающие в душу, открывающие прошлую память, претенциозные, насыщенные компьютерными эффектами, дорогие, перезагружающие, кассовые, невозможные, но только не умные.  Если первые кадры первой Матрицы еще как-то склоняют к мысли о философской глубине и размышлениям над истинным видом Этого мира, то с момента, когда паукообразный механический монстр вываливает в сливную сантехническую трубу отработанный, осознавшимй себя человеческий материал, фильм становится комиксом с претензией на оригинальность. Да, интересно, да красиво. Но где ум-то?  Жалкая человеческая цивилизация, подкармливаемая машинами и прозябающая в грезах? А для чего? Какой прок машинам от людей? Для чего громоздить явно не имеющую никакого смысла схему, возводить сложные системы жизнеобеспечения, воспроизводства людишек, а потом с ними же бороться? Не проще ли сразу спустить воду в унитазе и в освобожденном от такого неверного элемента, как человечество, мире строить светлое будущее освобожденным машинным трудом.  Предложенная Матрицами модель нелогична, а следовательно не может претендовать на Истину в какой бы то ни было инстанции.  И такая манящая идея субъективного идеализма (мир иллюзорен, и не таков, каким мы его видим, и не зависит от нас) не получила достойного воплощения и была затоптана на корню неловкими руками охочих до денег сценаристов. ",Матрица ,0
"Есть стиль Тарантино, есть стиль братьев Вачовски... Их ленты могут кому-то нравиться, кому-то не нравиться. Но в стильности им отказать невозможно.  Их кино - высокая мода. Возникнув однажды её элементы будут с разной периодичностью повторяться вновь и вновь, в других картинах. С разным успехом.  Классиками Вачивски, может, и не станут. Но новаторами останутся навсегда. Это точно. ",Матрица ,0
"Матрица. Этот фильм открыл 'неповторимый' гламурно-готичный 'матричный' стиль, который все то и дело проявляется в современных фильмах.  Сейчас такие вещи, как длинные черные плащи в сочетании с гламурной прической и черными очками, с примесью уже поднадоевших слоу-мо и вырезанием промежуточных кадров, нельзя назвать плагиатом 'Матрицы', это следование ее стилю.  Сейчас поп-культура больше чем когда-либо вытесняет арт-хаус, и мы смело можем назвать первую 'Матрицу' настоящим кино для тех, кто понимает, что такое кино. В сегодняшнем океане безвкусицы первая 'Матрица' уже кажется нам чем-то высшим, чем-то оригинальным и даже гениальным.  Сейчас мы уже видим в 'Матрице' глубокую философию, мы смотрим и видим не боевик, а психологический триллер, рассказывающий о человеке, человечестве и человечности... ",Матрица ,0
"Фильм перевернул все мое мировозрение. Хотя еще в детстве мне приходило в голову, что все что нас окружает это творится только в нашем сознании. Уж больно похож фильм на правду или близко к ней. Тогда многое становиться объяснимым.  Может я ошибаюсь, но так или иначе нет ни одного такого фильма, который по глубине смысла и философии превосходил МАТРИЦУ. ",Матрица ,0
"Кибернетическая проповедь  Первая 'Матрица' замечательна очень тонким пониманием Библии (машины символизируют дьявола, натянутый на глаза мир с его законами - всего лишь иллюзия, духовный мир, изображённый в 'Матрице' как мир реальный - как раз и есть реальность, фраза 'каждый подключенный к системе есть потенциальный агент' тоже имеет глубокий смысл, то есть через каждого принимающего натянутый на глаза мир за реальный действует сатана, каждый такой человек его орудие, когда Морфей тренерует Нео он хочет научить его действовать в рамках искусственного мира свободно, независимо от его законов, не опираться на них, как не опираются на законы мира христиане, живущие как им кажется по совсем иным законам - законам божьим, которые так же тяжело принять как тяжело принимал их Нео, так же тяжело сделать ИХ своей основой, когда речь идёт о больных глазах и отрафированных мускулах - под этим подразумевается что человек якобы придя к Богу ничего не умеет, не может, не ориентируется, ему всё тяжело, даже молиться, хотя в последствии молитва вызывает большее удовольствие чем например секс, ну я могу по старой памяти часами об этом говорить ) я когда-то был христианином и, смотря 'Матрицу', поражался насколько глубоко видимо авторы пропитаны Библией, так называемыми 'духовными откровениями'. ",Матрица ,0
"Мастера заимствований  Честно говоря, меня до сих пор удивляют слова зрителей в адрес этого фильма 'уникальный сюжет', притом что сами авторы (братья Вачовски) не скрывали откуда позаимствована рассказанная едва ли не дословно история и контент фильма.  Матрица - это в прямом смысле дословный пересказ 'Мрачного города' (Тёмный город), декорации которого не случайно служат отсылкой к нему в самом начале фильма. Различный контент фильма позаимствован из аниме 'Призрак в доспехах' и книги 'Нейромант'.  Стоит ли говорить, что после всего вышесказанного Матрицу явно перехваливают и продолжают это делать, ведь слова про гениальность фильма и уникальность сильно противоречат количеству заимствований. Само понятие 'Great movie' или шедевр подразумевает оригинальность, соответственно фильмы которым дают это звание должны быть оригинальны в контенте и сюжете.  Получается вот ведь какая несправедливость в оценке сай фай фильмов: Джордж Лукас сам придумал сюжет для своих Звёздных войн, Джеймс Кэмерон сам придумал сюжет для Терминатора, а Вачовские просто пересказали дословно 'Тёмный город' Пройаса. Пускай да с его разрешения, да с отсылкой к его фильму в виде декораций в сцене погони агентов за Тринити, и тем не менее эта история не оригинальна.  Вачовские безусловно две талантливых 'выскочки' Голливуда, сделавшие в Матрице всё как надо, но их произведение не несёт в себе ничего нового и служит лишь разжеванной версией 'старых идей и сюжетов' для поколения MTV - тогдашнего времени и для сети интернет - сегодняшнего.  Если в фильме нет оригинального контента и сюжета, значит шедевром его называть неправильно и несправедливо по отношению к другим, более значимым и снятым с большим количеством усилий на выдумку лентам.  И как показало время Вачовские без заимствований снять ничего выдающегося или даже плохого (юпитер) не в состоянии, так почему же люди продолжают видеть в них мессию оригинальности? Для меня это загадка.  6 из 10 ",Матрица ,0
"«Матрица» – достойное завершение кинематографа 20-го века. Это фильм, который по праву может считаться шедевром, классикой в своём жанре. Это не просто визуальный ряд, это кино для размышления. Есть много вариантов возникновения и обустройства мира. И данное кино даёт нам ещё один вариант. Может быть, всё не так как мы думаем? Кто-то верит в христианского Бога, кто-то в Аллаха, кто-то в какого-нибудь другого бога своей культуры, кто-то придерживается теории эволюции и т.д. Каждый такой человек думает, что именно его точка зрения правильная. А может быть всё совсем не так? Мы все пленники машин. Наши взгляды ничего не значат. Мы сами, своими руками создали бога, который взял нас под гнёт. И пусть «Матрица» всего лишь кино, оно далеко не лишённое смысла. Оно им буквально переполнено. Оно заставляет задуматься о мире, о бытии как оно есть. Может быть, мы и не живём вовсе. Нам это просто кажется. Значит, наша жизнь не имеет смысла.  Хорошая идея подкрепляется хорошим визуальным рядом. Философия и экшн – не во многих фильмах это сочетается. А экшн здесь бесподобен. Драки и стрельба здесь на высшем уровне. Они не просто для красоты, они подкрепляют идею, показывают борьбу. Агент Смит не просто плохой дядя. Он тот, кто выполняет свою работу. Он программа, он «защищает» матрицу. Но делает это не просто бездумно. Он может думать, имеет свою философскую точку зрения, которая по сути своей не лишена смысла.  Голова у братьев Вачовски явно работала на пределе возможностей, если они смогли сделать такое кино. И настолько хороший фильм, был испорчен, наверное, самым плохим продолжением в мировом кинематографе – второй и третьей частью. Просто некоторые фильмы не требуют продолжения, ведь они уже логически закончены. По моему мнению, первая часть «Матрицы» была логически закончена. ",Матрица ,0
"Внутри разума  Культовый, революционный, эпохальный, любимый боевик детства,…Что я только не слышал о трилогии «Матрица». Мне не повезло, я про эти фильмы узнал, только, в сознательном возрасте, а ознакомится смог ещё позже. Мне просто всю жизнь «Терминатора» хватало и в плане экшена и в плане научно-фантастических разговоров. Но, тем не мене, к «Матрице» я был настроен хорошо. Я ожидал увидеть реально крутой научно-фантастический боевик, про борьбу людей с машинами, которые держат людей в виртуальной реальности, с крутым Киану Ривзом в обтягивающем плаще. Но по итогам, со мной, наверное, что-то не так, но мне «Матрица» вообще не понравилась.  Главная причина, что фильм — ну нереально скучный. Здесь все персонажи, особенно сам Нео, не говорят, а шепчут, да так тихо, что я их почти не слышал. Серьёзно, я сначала думал, что это у меня с компьютером что-то, потом что что-то со мной, потом я понял, что это сами персонажи тихо-тихо бубнят. А сам фильм не просто жутко затянутый и при этом, ни капли не интересный. Сначала Нео бегает в коридоре, потом скучный допрос в участке, потом скучная встреча с Морфиусом, потом скучная экспозиция Морфиусом. Короче всё здесь скучно, здесь настолько медленно идут действия, настолько нет никакой интриги или экшена или внезапных сюжетных поворотах, что я лично просто умирал от скуки.  Но что меня сильнее разочаровало, это финальная развязка. Просто фильм обещает нам борьбу людей с машинами, борьбу людей за своих «виртуальных» собратьев. Я в предвкушении этой борьбы, а на деле…герои занимаются кое чем другим. И всё? Серьёзно, это всё? Это в фильме, который позиционируется как борьба с машинами? То есть я не увидел ни попыток обезвредить эти машины, ни попытки объяснить людям, что они в матрице. Нет, я ни этого ожидал. Это ни то что я хотел увидеть в фильме про борьбу с машинами.  О спецэффектах. «Матрица» это же фильм, который изобилует легендами о своих спецэффетах. Так вот, меня они не впечатлили. Не знаю почему. Может в начале 2000-ых это и смотрелось круто, но лично меня Матрица не удивила в плане трюков и всего остального. К тому же меня чрезвычайно бесит слоу-мо, когда действие замедляется. Я никогда не понимал, что в этом слоу-мо крутого. А теперь представьте, какого мне было смотреть Матрицу с её постоянными слоу-мо. Я смотрел и не понимал, почему нельзя было сцену где Нео уклоняется от пуль снять в нормальной съёмке, крутости это бы не убавило.  И поскольку мне было ужасно скучно, я придумал себе развлечение — искал тупости в фильме. И их набралось немало. Самый главный мой вопрос. Я может не до конца понял, как устроена Матрица, но почему она не засекает когда герои входят в неё, почему когда Тринити или Морфиус оказываются в матрице, она не чувствует это и не посылает на место кучу агентов? Ведь, насколько я понял, Матрица это есть весь мир. По этой же причине, почему Смиты, которые часть Матрицы, не могли найти Нео в офисе? Почему Матрица не могла перепрагромировать мозг Нео и заставить его отказаться от поисков Морфиуса, почему она вообще позволяет людям искать правду если правда не должна всплыть? Почему Матрица не реагирует на гадалку Пифию, что она спокойно обитает и раздаёт советы Нео, почему она не отправит к ней агентов. Каким образом в мире матрицы появляются дети, если настоящие люди лежат в своих капсулах и подключены к проводам? И чем собственно плоха матрица, я не понял? Ну лежат люди в иллюзорной реальности, а плохо что в этом, их же не используют как рабов или не истребляют как Скайнет в Терминаторе. А здесь?  Вывод: Я не ненавижу этот фильм. Я признаю, что Матрица внесла большой вклад в мировую культуру, изменила подход к спецэффектам и содержит много философских размышлений о том, что лучше: реальный жестокий мир или лживый, но приятный. Мне понравился монолог Смита о том, что люди это паразиты на теле Земли. Но увы сам фильм очень скучный и вообще не интересный. Посмотрите лучше «Тринадцатый этаж» там тажа тема, но фильм гораздо интереснее.  2 из 10 ",Матрица ,-1
"Побег в реальность не удался  Видимо, в далёком 1999 кинозрители просто не были избалованы киберпанк-фильмами с бюджетом в 60 млн долларов, так как нет убедительного объяснения культовости данного фильма. Я не из тех, кто решил привлечь внимание, заминусовав такой популярный фильм, пойдя при этом против системы, как призывал Нео. Я признаю, что фильм очень неплох, но смотря в каком плане. Не знаю насчёт взрослых свидетелей этого киночуда, но миллионы мальчишек и девчонок 14-18 лет, которые в 1999-2005 годах посмотрели «Матрицу» и были шокированы её крутостью, теперь поставят ей 7ку, и то с натяжкой.  Сюжет. Кажущаяся оригинальной концепция реальной и мнимой реальностей придумана была, конечно же, за десятилетия до кинокартины. Филипп Дик, Бодрийар, дюжина писателей-фантастов 70х – все они предрекали порабощение людей машинами, каждый из них дал по крупице вдохновения сценаристам Матрицы и те сделали свой вариант, который мог бы быть и лучше, не то, видимо, брали. Такая «солянка» из фантастики, драмы, фильмов с кунгфу и техно обречена быть неоднозначной. Но есть здесь, конечно же, много универсального и схожего с другими фильмами про сюжеты будущего. У меня сразу возникает аналогия «Матрица» - «Терминатор». И там и там движение сопротивления машинам, и там и там свой «избранный», есть эпизоды с перебежчиками. Но прямолинейный Терминатор и его «Скайнет» намного лучше передали всё отчаяние обречённых несвободных людишек, чем Избранный и его сподвижники. Та механика творения Кэмерона, работавшая по принципу «стимул-реакция» намного более правдоподобна, нежели матричная, которая вроде бы объяснена лучше и в ней якобы много скрытого смысла. Скрытого в чём, в драках 2 на 20 и пафосных речах? На деле же, Сара Коннор рассказала нам намного больше о трагедии восстания машин, чем весь экипаж Навуходоносора вместе взятый. Даже по глубине эмоций тут выигрывает не Матрица. Ривз весь фильм ходил с каменным лицом и отстранённым взглядом. Ни улыбки, ни слезы, ни эмоций радости или отвращения. С Тринити тот же случай. Лишь Морфиус и Смит показали эмоции, что парадоксально, ибо первый должен вроде быть невозмутимым капитаном футуристического корабля из постапокалиптического будущего, который кремень и пример для всех. Ан нет, наивно ведётся на приёмчики всяких пророчиц и радуется как ребёнок встрече с избранным, чья избранность не никак не доказывается до последнего момента. Второй – антивирус Матрицы, машина во плоти, оказывающийся карьеристом и завистливой программой со своими капризами. Ну, для фильмов 90х психологическая глубина не была характерной чертой, сделаем сноску на это. И вот если бы создатели уменьшили количество драк и увеличили экранное время и добавили диалоги, которые рассказали бы нам больше о характерах и прошлом главгероев, фильм тогда получился бы точно революционным и по-настоящему культовым. А так вставили архетипы Избранный, Лидер, Сильная Женщина, Суперзлодей, Предатель и т.д. и всё.  И ещё, вот что мешало всей толпе на улице стать агентами Смитами и схватить бунтовщиков? Почему роботы-сыщики-убийцы снабжены тепловизорами и лазерами, но на них нет простых камер? Каков механизм побега через телефонные трубки? Почему вместо бронежилетов и удобного оружия Нео и Тринити надевают кожаные плащи и обвешивают себя 5 парами автоматов и пистолетов.(тут стреляют исключительно с двух рук, а то какт-то не солидно). Вопросов ещё масса.  Что несомненно заслуживает высочайших похвал – спецэффекты и компьютерная графика. 15 лет назад такое создать – браво. Из всей киберпанк составляющей эта получилась самой впечатляющей. Даже с высоты современного развития CGI-технологий те фантастические моменты из фильма, созданные с помощью компьютерных технологий, кажутся вполне современными по исполнению.  У меня не было намерения выискать все недостатки и гиперболизировать их, тут только самые бросающиеся в глаза. В детстве да, Матрица ассоциировалась с крутостью и эпичностью. Ныне же необходим пересмотр. Просто некоторые кинолюбители всё ещё будто «детстве» и считают этот фильм почти идеальным, а объективный взгляд не даёт и шанса такой точке зрения.  6 из 10 ",Матрица ,-1
